Repo Name,GitHub URL,Category,Priority (1-3),Status,Integration Type,Tech Stack,Stars,Last Updated,Key Integration Points,Action Items
LineageOS Device Tree,https://github.com/LineageOS/android_device_oneplus_guacamole,Device Tree,3,Active,Reference,"Makefile, Shell","1k+",2024,"BoardConfig.mk, device.mk, init/*.rc","Study partition layouts, SELinux contexts"
OnePlus OSS Kernel SM8150,https://github.com/OnePlusOSS/android_kernel_oneplus_sm8150,Kernel,3,Active,Upstream,"C, Kconfig",N/A,2024,"defconfig baseline, security patches","Pin specific tag for Android 16 compatibility"
engstk blu_spark Kernel,https://github.com/engstk/op7,Kernel,3,Active,Reference,"C, Kconfig","500+",2024,"Performance tuning, governor config","Compare patch delta vs OnePlus OSS"
Video-to-BootAnimation-Creator-Script,https://github.com/rhythmcache/Video-to-BootAnimation-Creator-Script,Boot Animation,3,Active,Code Reference,"Python, FFmpeg",N/A,2024,"LANCZOS scaling, multi-resolution support","Extract FFmpeg command chains, verify against build.py"
ENEIZEM CP2077 Bootanimation Module,https://github.com/ENEIZEM/Magisk-Module-Cyberpunk-2077-Bootanimation-SplashScreen-POCO,Boot Animation,3,Active,Code Reference,"Shell, ZIP","100+",2024,"customize.sh variant logic, mount paths","Clone and diff customize.sh against yours"
Roboron3042 Cyberpunk-Neon,https://github.com/Roboron3042/Cyberpunk-Neon,Design Tokens,3,Active,Token Reference,"CSS, QML, Shell","2k+",2024,"Color palette, multi-platform themes","Cross-check palette, sync WebUI colors"
K-DE-Cyberpunk-Neon,https://github.com/UtkarshKunwar/K-DE-Cyberpunk-Neon,Linux Theme,3,Active,Submodule Upstream,"QML, CSS","500+",2024,"KDE Plasma SVG/QML, GTK theme","Run git fetch on submodule, check for upstream patches"
Zackptg5 MMT-Extended,https://github.com/Zackptg5/MMT-Extended,Magisk Module,3,Active,Optional Integration,"Shell","1k+",2024,"Hook system, busybox utilities, mount functions","Study utilities, decide on integration"
SAPTeamDEV Magisk Template,https://github.com/SAPTeamDEV/Magisk-Module-Template,CI/CD,2,Active,Reference,"Shell, GitHub Actions",N/A,2024,"GH Actions release cycle, update.json generation","Cross-reference against release.yml"
Woomymy GH Actions Template,https://github.com/Woomymy/Magisk-Module-GH-Actions-Template,CI/CD,2,Active,Reference,"Shell, YAML",N/A,2024,"Modern CI patterns, update.json auto-gen","Compare workflow steps with yours"
Dr-TSNG ZygiskNext,https://github.com/Dr-TSNG/ZygiskNext,Root Framework,2,Active,Future Integration,"Java, C++",N/A,2024,"Open-source Zygisk, multi-framework support","Bookmark for future Zygisk features"
prasanthrangan hyprdots,https://github.com/prasanthrangan/hyprdots,Linux Config,2,Active,Reference,"Shell, Hyprland","3k+",2024,"Waybar config, dunst theming, rofi setup","Clone and extract Waybar config, adopt missing features"
scherrer-txt cybrland,https://github.com/scherrer-txt/cybrland,Linux Theme,2,Active,Reference,"Shell, Hyprland","1k+",2024,"Cyberpunk Hyprland setup, eww config","Clone and compare eww config with yours"
LawnchairLauncher lawnchair,https://github.com/LawnchairLauncher/lawnchair,Launcher,2,Active,Reference,"Kotlin, Android","8k+",2024,"Material 3 theming, launcher customization","Study Material 3 color patterns"
bootanimation.github.io,https://github.com/bootanimation/bootanimation.github.io,Boot Animation,1,Active,Reference,JavaScript,N/A,2024,"Web-based ZIP generator, validation logic","Use as validation reference"
koro33e BootAnimationMaker,https://github.com/koro33e/BootAnimationMaker,Boot Animation,1,Active,Reference,Python,N/A,2024,"Dual output (ZIP + Magisk), workflow reference","Study for multi-output patterns"
AxonShell BootanimationBuilder,https://github.com/AxonShell/BootanimationBuilder,Boot Animation,1,Active,Reference,"Python, GUI",N/A,2024,"Modern builder, safety focus, error handling","Reference for validation logic"
WildKernels OnePlus KernelSU SUSFS,https://github.com/WildKernels/OnePlus_KernelSU_SUSFS,Kernel,1,Active,Reference,C,N/A,2024,"KernelSU + SUSFS integration, pre-built variants","Reference for root framework integration"
aranel616 neon-nexus,https://github.com/aranel616/neon-nexus,Linux Theme,1,Active,Reference,"Shell, TOML, YAML","500+",2024,"Multi-tool neon theming, Waybar + rofi","Reference for Waybar styling patterns"
gwannon Cyberpunk-2077-theme-css,https://github.com/gwannon/Cyberpunk-2077-theme-css,WebUI Design,1,Active,Reference,CSS3,N/A,2024,"CSS3 simulation of CP2077 interfaces","Reference for WebUI design patterns"
LawnchairLauncher lawnicons,https://github.com/LawnchairLauncher/lawnicons,Icon Theme,1,Active,Reference,"SVG, Python","1k+",2024,"Monochrome icon pack, theming system","Reference if expanding icon theme"
snake-4 Zygisk-Assistant,https://github.com/snake-4/Zygisk-Assistant,Root Framework,1,Active,Optional,"Java, C++","3k+",2024,"Root framework abstraction, hiding","Reference for multi-framework support"
OrangeFoxRecovery device_oneplus_guacamole,https://github.com/OrangeFoxRecovery/device_oneplus_guacamole,Recovery,1,Active,Reference,"C, Makefile",N/A,2024,"Device-specific recovery config, flashing compat","Low-priority reference only"
kimocoder android_kernel_oneplus_sm8150_draco,https://github.com/kimocoder/android_kernel_oneplus_sm8150_draco,Kernel,1,Active,Reference,C,N/A,2024,"NetHunter kernel for OP7 series","Reference for security-focused kernel variant"
